id,slug,name,datereleased,yearreleased,background_image,rating,metacritic,playtime,platforms,genres,description,vecdesc
16029,block-n-load,Block N Load,2015-04-30,2015,https://media.rawg.io/media/screenshots/0a1/0a11da6832223c0a41b5307a9112c3e7.jpg,2.23,72.0,1,PC,"Action, Strategy, Massively Multiplayer","Block N Load is a team-based multiplayer shooter game developed by Jagex. It is a spiritual successor to Ace of Spades and improves on the ideas that were first laid there. It was later made free-to-play. Gameplay Block N Load is a 5v5 multiplayer game that takes inspiration from Minecraft and Team Fortress. Each team build up their base and tries to destroy their enemies. Featuring a completely destroyable environment, it is possible to catapult over the enemy defenses, blow their walls up or simply dig under them. This results in a high degree of replayability as no match will play the same. In Block N Load, the players will put up buildings for offense or defense. The game features a class system - at the beginning of the match, you choose a character each of which has unique combat and tactical skills. Characters Block N Load features 12 characters which differ in their gameplay. For example, Sarge is a tank-type character, who pushes his enemies head-on to deal the most amount of damage possible, while Juan Shinobi is a stealth-based character that relies on his fast movement and teleportation skills to get behind his enemies, slice them up, and vanish. Each character is capable of building up defenses and is equipped with a shovel. The players are free to use blocks and build up something new or choose the pre-made buildings and put them up in a matter of seconds.","Block N Load is a team-based multiplayer shooter game developed by Jagex. It is a spiritual successor to Ace of Spades and improves on the ideas that were first laid there. It was later made free-to-play. Gameplay Block N Load is a 5v5 multiplayer game that takes inspiration from Minecraft and Team Fortress. Each team build up their base and tries to destroy their enemies. Featuring a completely destroyable environment, it is possible to catapult over the enemy defenses, blow their walls up or simply dig under them. This results in a high degree of replayability as no match will play the same. In Block N Load, the players will put up buildings for offense or defense. The game features a class system - at the beginning of the match, you choose a character each of which has unique combat and tactical skills. Characters Block N Load features 12 characters which differ in their gameplay. For example, Sarge is a tank-type character, who pushes his enemies head-on to deal the most amount of damage possible, while Juan Shinobi is a stealth-based character that relies on his fast movement and teleportation skills to get behind his enemies, slice them up, and vanish. Each character is capable of building up defenses and is equipped with a shovel. The players are free to use blocks and build up something new or choose the pre-made buildings and put them up in a matter of seconds."
16042,endorlight,Endorlight,2016-04-26,2016,https://media.rawg.io/media/screenshots/9b7/9b7a0b5098e32bfe030115f17df363ba.jpg,1.8,,5,PC,"Adventure, Casual, Indie","Endorlight is a roguelike platformer developed by Unika Games. Gameplay Endorlight is a typical roguelike game. That means that death is permanent. Upon death, the players lose all their items, yet it is still possible to retrieve them if you find a way to the spot you died on. The main objective of each level is to find an exit off of it. The game has no saving system whatsoever. The players have to play through the game in one sitting. There are more enemies on each level with them being much tougher. The players will have to win a boss fight every five levels. After defeating a boss, a new world biom is unlocked. Each boss is different, has more health and does more damage upon hitting the player. It is possible to collect gold and use it to purchase several character upgrades, such as increased health, damage multipliers and much more. The game also features a leaderboard that logs how much levels did the player pass, how much gold did they gather, and how much time did it take them to do so. Your arsenal is not large, as the only things you can get through your enemies are your ax, your bow, and your whip. Controversy The game was pulled off Steam for violating copyright law, because of the usage of the open-source code of another game Spelunky and copying another game called Caveblazers, but on a different engine.","Endorlight is a roguelike platformer developed by Unika Games. Gameplay Endorlight is a typical roguelike game. That means that death is permanent. Upon death, the players lose all their items, yet it is still possible to retrieve them if you find a way to the spot you died on. The main objective of each level is to find an exit off of it. The game has no saving system whatsoever. The players have to play through the game in one sitting. There are more enemies on each level with them being much tougher. The players will have to win a boss fight every five levels. After defeating a boss, a new world biom is unlocked. Each boss is different, has more health and does more damage upon hitting the player. It is possible to collect gold and use it to purchase several character upgrades, such as increased health, damage multipliers and much more. The game also features a leaderboard that logs how much levels did the player pass, how much gold did they gather, and how much time did it take them to do so. Your arsenal is not large, as the only things you can get through your enemies are your ax, your bow, and your whip. Controversy The game was pulled off Steam for violating copyright law, because of the usage of the open-source code of another game Spelunky and copying another game called Caveblazers, but on a different engine."
16043,monsti,Monsti,2016-09-12,2016,https://media.rawg.io/media/screenshots/e43/e4322029541bfafde4c3f9e78c91cb10.jpg,1.81,,5,PC,"Casual, Indie","Are you ready to test your skills in Monsti world? Playing Monsti is easy, all you have to do is to click and fly for as much time as you can. There will be many obstacles that come your way and you have to do all in your power in order to avoid them. As you go through the level you will be able to collect eggs, which will offer you immediate access to a variety of great new characters. Eggs are hard to get and many times you will have to go through trial and error in order to acquire them. If the Normal game mode is too simple for you, we also offer an Insane mode where the enemies will move a lot faster so it will be even more challenging for you to move onward and acquire the eggs. The eggs will also allow you to purchase new themes, so if you do get enough you can also explore new locations and levels. Upcoming: - macOS support - More characters - New levels of difficulty - Powerups","Are you ready to test your skills in Monsti world? Playing Monsti is easy, all you have to do is to click and fly for as much time as you can. There will be many obstacles that come your way and you have to do all in your power in order to avoid them. As you go through the level you will be able to collect eggs, which will offer you immediate access to a variety of great new characters. Eggs are hard to get and many times you will have to go through trial and error in order to acquire them. If the Normal game mode is too simple for you, we also offer an Insane mode where the enemies will move a lot faster so it will be even more challenging for you to move onward and acquire the eggs. The eggs will also allow you to purchase new themes, so if you do get enough you can also explore new locations and levels. Upcoming: - macOS support - More characters - New levels of difficulty - Powerups"
16073,confrontation,Confrontation,2012-04-04,2012,https://media.rawg.io/media/screenshots/6fe/6fe930b0bb9505fbc5039ed47893608e.jpg,2.0,51.0,1,PC,"Action, RPG, Strategy","Confrontation is the TRPG and the video game adaptation of the tabletop title of the same name by Rackham. That is the only title in the IP, and the game is developed by Cyanide. This studio is also famous for the Pro Cycling Manager series. Plot The narrative in the game is presented via short briefings given to the player before the missions. The events depicted in the game cannot vary — the game is highly linear. The whole story circles around the constant fights of the protagonist team with no motivation for them provided whatsoever. All of the playable characters remain silent most of the time during the gameplay process. Gameplay The video game adopts a plot from the tabletop wargaming. The setting is shared between two titles — it is the stylized medieval world called Aarklash which is constantly torn down by some races typical of role-playing games: wizards, knights, and priests. There are many outcomes to the game while it is unknown which fraction prevails. The video game adaptation inherits the world and builds an adventure around the team of heroes composed out of 4 characters chosen by the player. This team travels through levels, guiding each other through the enemies, traps, and puzzles along the way. The game does not feature any NPC's to talk with and complex puzzles to solve — any riddle works according to mechanics ""pull the lever — open the door.","Confrontation is the TRPG and the video game adaptation of the tabletop title of the same name by Rackham. That is the only title in the IP, and the game is developed by Cyanide. This studio is also famous for the Pro Cycling Manager series. Plot The narrative in the game is presented via short briefings given to the player before the missions. The events depicted in the game cannot vary — the game is highly linear. The whole story circles around the constant fights of the protagonist team with no motivation for them provided whatsoever. All of the playable characters remain silent most of the time during the gameplay process. Gameplay The video game adopts a plot from the tabletop wargaming. The setting is shared between two titles — it is the stylized medieval world called Aarklash which is constantly torn down by some races typical of role-playing games: wizards, knights, and priests. There are many outcomes to the game while it is unknown which fraction prevails. The video game adaptation inherits the world and builds an adventure around the team of heroes composed out of 4 characters chosen by the player. This team travels through levels, guiding each other through the enemies, traps, and puzzles along the way. The game does not feature any NPC's to talk with and complex puzzles to solve — any riddle works according to mechanics ""pull the lever — open the door."
16096,raw-realms-of-ancient-war,R.A.W. Realms of Ancient War,2012-10-10,2012,https://media.rawg.io/media/screenshots/6e1/6e18dbf24c543054865fcb6c45b32684.jpg,2.2,46.0,1,"PC, PlayStation","Action, RPG","The story The continent inhabited by people, elves and gnomes lived in peace. Four kingdoms located on four sides of the world could always find a common language. Now in these lands chaos reigns. For twenty years, the war devoured the lives of everyone it could reach until the King of the North invited the leaders of other kingdoms to come together and end the meaningless deaths. The Temple of Heroes was chosen as a place to negotiate a truce was established. But something happened and all the kings, never returned home with signs of disease and the King of the North just disappeared. The gameplay and the plot We have the opportunity to manage the characters of three classes in the genre hack-and-slash RPG. Each of the classes has its own game mechanics. Depending on which of the heroes player chooses - mage, warrior or hunter, the starting location is different. The linear plot and linear hero upgrading might seem confusing at first but the locations themselves and the story, allow you to feel the scale of the game world. Another positive aspect is the possibility of cooperative play, and you can not only play on the network, but also on one computer with a split screen. The developer of the game is the French company Wizarbox, which, in addition to creating its own fantasy worlds, was engaged in porting other games on the console Xbox and PlayStation.","The story The continent inhabited by people, elves and gnomes lived in peace. Four kingdoms located on four sides of the world could always find a common language. Now in these lands chaos reigns. For twenty years, the war devoured the lives of everyone it could reach until the King of the North invited the leaders of other kingdoms to come together and end the meaningless deaths. The Temple of Heroes was chosen as a place to negotiate a truce was established. But something happened and all the kings, never returned home with signs of disease and the King of the North just disappeared. The gameplay and the plot We have the opportunity to manage the characters of three classes in the genre hack-and-slash RPG. Each of the classes has its own game mechanics. Depending on which of the heroes player chooses - mage, warrior or hunter, the starting location is different. The linear plot and linear hero upgrading might seem confusing at first but the locations themselves and the story, allow you to feel the scale of the game world. Another positive aspect is the possibility of cooperative play, and you can not only play on the network, but also on one computer with a split screen. The developer of the game is the French company Wizarbox, which, in addition to creating its own fantasy worlds, was engaged in porting other games on the console Xbox and PlayStation."
16112,sleeping-dogs-definitive-edition,Sleeping Dogs: Definitive Edition,2014-10-08,2014,https://media.rawg.io/media/games/bd7/bd7cfccfececba1ec2b97a120a40373f.jpg,4.14,76.0,6,"PC, PlayStation, Xbox, Apple Macintosh","Action, Adventure","Sleeping Dogs: Definitive Edition is a remaster of Sleeping Dogs, an action game about a police officer’s undercover work inside an Asian criminal organization. It features the original game with improved graphics and several expansion packs, including Nightmare in North Point and Year of the Snake. You take on the role of Wei Shen, who joins the 'Sun On Yee' Triad gang and starts to complete different assignments to get to the head of the organization. During the investigation, you will explore different sides of Hong Kong where traditional Asian culture meets neon lights and modern skyscrapers. In Definitive Edition the city's environment is upgraded with huge attention to details and lightning. Your way up to the top of the mafia clan will consist of numerous fights, where you can use multiple guns along with melee combat and pieces of the environment. Besides the battles, Wei Shen can use gadgets for exploration, sing in karaoke bars, date women and interact with deeply developed NPCs.","Sleeping Dogs: Definitive Edition is a remaster of Sleeping Dogs, an action game about a police officer’s undercover work inside an Asian criminal organization. It features the original game with improved graphics and several expansion packs, including Nightmare in North Point and Year of the Snake. You take on the role of Wei Shen, who joins the 'Sun On Yee' Triad gang and starts to complete different assignments to get to the head of the organization. During the investigation, you will explore different sides of Hong Kong where traditional Asian culture meets neon lights and modern skyscrapers. In Definitive Edition the city's environment is upgraded with huge attention to details and lightning. Your way up to the top of the mafia clan will consist of numerous fights, where you can use multiple guns along with melee combat and pieces of the environment. Besides the battles, Wei Shen can use gadgets for exploration, sing in karaoke bars, date women and interact with deeply developed NPCs."
16113,sleeping-dogs,Sleeping Dogs,2012-08-14,2012,https://media.rawg.io/media/games/3d9/3d9bac98d79bcd2d445f829e8d6be902.jpg,4.13,81.0,14,"PC, PlayStation, Xbox","Action, Adventure","Sleeping Dogs is a third-person action shooter with RPG elements, having Hong Kong as its central location. The city is an open world for the player’s exploration, and many gameplay features revolve around interacting with the surroundings. A huge aspect of immersion would be music, as it is themed according to the geographical location of the city. The main character Wei Shen finds himself in various situations which lead to the development of the main story. Resolving conflicts between local citizens and Hong Kong’s organized crime, the protagonist is offered to join one of the city’s gangs. Due to this, the players need to plan their actions carefully, building trust among both the gangsters and the police. The game features an unlock-based role-playing system, where every consecutive ability or trait is unlocked after the player achieves a specific goal or levels up character’s prestige in each of the three in-game groups. The combat system is heavily reliant on the character’s skill of martial arts, but conventional weaponry is also a favorable choice. Non-story related interactions add flavor to the overall gameplay, as there is a wide choice of how to spend the protagonist’s free time.","Sleeping Dogs is a third-person action shooter with RPG elements, having Hong Kong as its central location. The city is an open world for the player’s exploration, and many gameplay features revolve around interacting with the surroundings. A huge aspect of immersion would be music, as it is themed according to the geographical location of the city. The main character Wei Shen finds himself in various situations which lead to the development of the main story. Resolving conflicts between local citizens and Hong Kong’s organized crime, the protagonist is offered to join one of the city’s gangs. Due to this, the players need to plan their actions carefully, building trust among both the gangsters and the police. The game features an unlock-based role-playing system, where every consecutive ability or trait is unlocked after the player achieves a specific goal or levels up character’s prestige in each of the three in-game groups. The combat system is heavily reliant on the character’s skill of martial arts, but conventional weaponry is also a favorable choice. Non-story related interactions add flavor to the overall gameplay, as there is a wide choice of how to spend the protagonist’s free time."
16117,the-howler,The Howler,2013-04-22,2013,https://media.rawg.io/media/screenshots/271/271458a145626b16058f3023308be3fb.jpg,2.3,,3,"PC, iOS, Android, Apple Macintosh","Action, Adventure, RPG, Strategy, Simulation, Sports, Racing, Casual, Indie","The Howler is an indie puzzle platformer game developed by Antanas Marcelionis. Plot The plot of the game is based on the Lithuanian novel Hour of the Wolf. It is set in an alternate version of the 20th century Lithuania. The Alliance of Free Cities was created by the Rothschilds. Alchemists perform their research, and inventors fly their steampunk airships, mechanics create robotics. The story follows a former United States Marine Antanas Sidabras, who lives in the Free City Of Vilnius and investigates a murder. A major conspiracy comes up during his investigation. Gameplay Antanas Marcelionis was the illustrator of Hour of the Wolf. The game inherits the same steampunk-induced visual style. The objective of the game is to fly your air balloon over multiple obstacles that will destroy it upon making contact. There are two ways of blowing the balloon. The players are able to either use their left mouse button to inflate the balloon or yell into the microphone if they have one (this is the default control scheme in the game). The players can also control the wind flow with the arrow keys. The game's world is highly interactive, so it is possible to get more speed and elevation using chimneys and steam pipes. The game heavily relies on physics and wind simulation, as the players have to avoid sharp obstacles, mines, and all other sorts of hazards. Trailers: https://youtu.be/jolcjHcUDMM https://youtu.be/-29qlNLapgU","The Howler is an indie puzzle platformer game developed by Antanas Marcelionis. Plot The plot of the game is based on the Lithuanian novel Hour of the Wolf. It is set in an alternate version of the 20th century Lithuania. The Alliance of Free Cities was created by the Rothschilds. Alchemists perform their research, and inventors fly their steampunk airships, mechanics create robotics. The story follows a former United States Marine Antanas Sidabras, who lives in the Free City Of Vilnius and investigates a murder. A major conspiracy comes up during his investigation. Gameplay Antanas Marcelionis was the illustrator of Hour of the Wolf. The game inherits the same steampunk-induced visual style. The objective of the game is to fly your air balloon over multiple obstacles that will destroy it upon making contact. There are two ways of blowing the balloon. The players are able to either use their left mouse button to inflate the balloon or yell into the microphone if they have one (this is the default control scheme in the game). The players can also control the wind flow with the arrow keys. The game's world is highly interactive, so it is possible to get more speed and elevation using chimneys and steam pipes. The game heavily relies on physics and wind simulation, as the players have to avoid sharp obstacles, mines, and all other sorts of hazards. Trailers: https://youtu.be/jolcjHcUDMM https://youtu.be/-29qlNLapgU"
16118,supreme-commander-2,Supreme Commander 2,2010-03-01,2010,https://media.rawg.io/media/games/5db/5db33e1b461c60cdbfe48a5f4837101d.jpg,3.27,77.0,3,"PC, Xbox","Strategy, Simulation","Supreme Commander 2 is a real-time strategy, a sequel to Supreme Commander. The story is set in the near future in the world of giant mechs and the rise of technology. The plot tells about the confrontation of three forces: the United Earth Federation, the Illuminate and the Cybrans. They united in the first game but the newly elected President's assassination makes them break up. The game is split into three missions dedicated to these forces. You have an opportunity to play as each side of the conflict that allows you to see it at different angles. At the end three separated campaigns come together and have the single ending. The gameplay is typical for the RTS genre: you need to build facilities, mine resources and create an army of different military forces, including robots, tanks and super weapons. Your units are upgradeable with special points you can get developing technologies and defeating enemies. The goal of the game is to overcome your opponents. However, in a single-player campaign you can win by the numerical superiority of your army.","Supreme Commander 2 is a real-time strategy, a sequel to Supreme Commander. The story is set in the near future in the world of giant mechs and the rise of technology. The plot tells about the confrontation of three forces: the United Earth Federation, the Illuminate and the Cybrans. They united in the first game but the newly elected President's assassination makes them break up. The game is split into three missions dedicated to these forces. You have an opportunity to play as each side of the conflict that allows you to see it at different angles. At the end three separated campaigns come together and have the single ending. The gameplay is typical for the RTS genre: you need to build facilities, mine resources and create an army of different military forces, including robots, tanks and super weapons. Your units are upgradeable with special points you can get developing technologies and defeating enemies. The goal of the game is to overcome your opponents. However, in a single-player campaign you can win by the numerical superiority of your army."
16120,tiny-bridge-ratventure,Tiny Bridge: Ratventure,2015-05-08,2015,https://media.rawg.io/media/screenshots/8e2/8e261e86d3067701c997c3bf7e1aee5b.jpg,1.78,,3,"PC, Apple Macintosh","Action, Adventure, RPG, Strategy, Simulation, Sports, Racing, Casual, Indie","In this mind-bending game you create complex structures to get your woodland creatures over vast chasms. In a bridge-builder first, you'll guide your creatures and construct your bridges in real time. Use the weight of various creatures to balance your structures as you build them. Features: - 72 unique levels across 6 worlds - Construction physics applied in real-time - Steam Achievements and Steam Leaderboards integration - Steam Cloud support","In this mind-bending game you create complex structures to get your woodland creatures over vast chasms. In a bridge-builder first, you'll guide your creatures and construct your bridges in real time. Use the weight of various creatures to balance your structures as you build them. Features: - 72 unique levels across 6 worlds - Construction physics applied in real-time - Steam Achievements and Steam Leaderboards integration - Steam Cloud support"
